cases,cumulative_cases,date_report,province
0,0,25-01-2020,Alberta
0,0,26-01-2020,Alberta
0,0,27-01-2020,Alberta
0,0,28-01-2020,Alberta
0,0,29-01-2020,Alberta
0,0,30-01-2020,Alberta
0,0,31-01-2020,Alberta
0,0,01-02-2020,Alberta
0,0,02-02-2020,Alberta
0,0,03-02-2020,Alberta
0,0,04-02-2020,Alberta
0,0,05-02-2020,Alberta
0,0,06-02-2020,Alberta
0,0,07-02-2020,Alberta
0,0,08-02-2020,Alberta
0,0,09-02-2020,Alberta
0,0,10-02-2020,Alberta
0,0,11-02-2020,Alberta
0,0,12-02-2020,Alberta
0,0,13-02-2020,Alberta
0,0,14-02-2020,Alberta
0,0,15-02-2020,Alberta
0,0,16-02-2020,Alberta
0,0,17-02-2020,Alberta
0,0,18-02-2020,Alberta
0,0,19-02-2020,Alberta
0,0,20-02-2020,Alberta
0,0,21-02-2020,Alberta
0,0,22-02-2020,Alberta
0,0,23-02-2020,Alberta
0,0,24-02-2020,Alberta
0,0,25-02-2020,Alberta
0,0,26-02-2020,Alberta
0,0,27-02-2020,Alberta
0,0,28-02-2020,Alberta
0,0,29-02-2020,Alberta
0,0,01-03-2020,Alberta
0,0,02-03-2020,Alberta
0,0,03-03-2020,Alberta
0,0,04-03-2020,Alberta
1,1,05-03-2020,Alberta
1,2,06-03-2020,Alberta
0,2,07-03-2020,Alberta
2,4,08-03-2020,Alberta
10,14,09-03-2020,Alberta
0,14,10-03-2020,Alberta
5,19,11-03-2020,Alberta
4,23,12-03-2020,Alberta
6,29,13-03-2020,Alberta
10,39,14-03-2020,Alberta
17,56,15-03-2020,Alberta
18,74,16-03-2020,Alberta
23,97,17-03-2020,Alberta
22,119,18-03-2020,Alberta
27,146,19-03-2020,Alberta
49,195,20-03-2020,Alberta
31,226,21-03-2020,Alberta
33,259,22-03-2020,Alberta
42,301,23-03-2020,Alberta
57,358,24-03-2020,Alberta
61,419,25-03-2020,Alberta
67,486,26-03-2020,Alberta
56,542,27-03-2020,Alberta
79,621,28-03-2020,Alberta
40,661,29-03-2020,Alberta
29,690,30-03-2020,Alberta
64,754,31-03-2020,Alberta
117,871,01-04-2020,Alberta
97,968,02-04-2020,Alberta
107,1075,03-04-2020,Alberta
106,1181,04-04-2020,Alberta
69,1250,05-04-2020,Alberta
98,1348,06-04-2020,Alberta
25,1373,07-04-2020,Alberta
50,1423,08-04-2020,Alberta
28,1451,09-04-2020,Alberta
49,1500,10-04-2020,Alberta
69,1569,11-04-2020,Alberta
82,1651,12-04-2020,Alberta
81,1732,13-04-2020,Alberta
138,1870,14-04-2020,Alberta
126,1996,15-04-2020,Alberta
162,2158,16-04-2020,Alberta
239,2397,17-04-2020,Alberta
165,2562,18-04-2020,Alberta
241,2803,19-04-2020,Alberta
105,2908,20-04-2020,Alberta
187,3095,21-04-2020,Alberta
306,3401,22-04-2020,Alberta
319,3720,23-04-2020,Alberta
297,4017,24-04-2020,Alberta
215,4232,25-04-2020,Alberta
243,4475,26-04-2020,Alberta
216,4691,27-04-2020,Alberta
159,4850,28-04-2020,Alberta
315,5165,29-04-2020,Alberta
190,5355,30-04-2020,Alberta
218,5573,01-05-2020,Alberta
96,5669,02-05-2020,Alberta
93,5762,03-05-2020,Alberta
74,5836,04-05-2020,Alberta
57,5893,05-05-2020,Alberta
70,5963,06-05-2020,Alberta
54,6017,07-05-2020,Alberta
81,6098,08-05-2020,Alberta
59,6157,09-05-2020,Alberta
96,6253,10-05-2020,Alberta
47,6300,11-05-2020,Alberta
45,6345,12-05-2020,Alberta
62,6407,13-05-2020,Alberta
50,6457,14-05-2020,Alberta
57,6514,15-05-2020,Alberta
72,6586,16-05-2020,Alberta
57,6643,17-05-2020,Alberta
39,6682,18-05-2020,Alberta
33,6715,19-05-2020,Alberta
19,6734,20-05-2020,Alberta
33,6767,21-05-2020,Alberta
32,6799,22-05-2020,Alberta
18,6817,23-05-2020,Alberta
42,6859,24-05-2020,Alberta
19,6878,25-05-2020,Alberta
22,6900,26-05-2020,Alberta
25,6925,27-05-2020,Alberta
29,6954,28-05-2020,Alberta
24,6978,29-05-2020,Alberta
14,6992,30-05-2020,Alberta
18,7010,31-05-2020,Alberta
34,7044,01-06-2020,Alberta
13,7057,02-06-2020,Alberta
19,7076,03-06-2020,Alberta
15,7091,04-06-2020,Alberta
7,7098,05-06-2020,Alberta
40,7138,06-06-2020,Alberta
0,7138,07-06-2020,Alberta
64,7202,08-06-2020,Alberta
27,7229,09-06-2020,Alberta
47,7276,10-06-2020,Alberta
40,7316,11-06-2020,Alberta
30,7346,12-06-2020,Alberta
37,7383,13-06-2020,Alberta
50,7433,14-06-2020,Alberta
14,7447,15-06-2020,Alberta
35,7482,16-06-2020,Alberta
48,7530,17-06-2020,Alberta
49,7579,18-06-2020,Alberta
46,7625,19-06-2020,Alberta
48,7673,20-06-2020,Alberta
31,7704,21-06-2020,Alberta
32,7736,22-06-2020,Alberta
45,7781,23-06-2020,Alberta
44,7825,24-06-2020,Alberta
26,7851,25-06-2020,Alberta
37,7888,26-06-2020,Alberta
69,7957,27-06-2020,Alberta
39,7996,28-06-2020,Alberta
71,8067,29-06-2020,Alberta
41,8108,30-06-2020,Alberta
0,8108,01-07-2020,Alberta
94,8202,02-07-2020,Alberta
57,8259,03-07-2020,Alberta
0,8259,04-07-2020,Alberta
0,8259,05-07-2020,Alberta
130,8389,06-07-2020,Alberta
47,8436,07-07-2020,Alberta
46,8482,08-07-2020,Alberta
37,8519,09-07-2020,Alberta
77,8596,10-07-2020,Alberta
0,8596,11-07-2020,Alberta
0,8596,12-07-2020,Alberta
230,8826,13-07-2020,Alberta
86,8912,14-07-2020,Alberta
82,8994,15-07-2020,Alberta
120,9114,16-07-2020,Alberta
105,9219,17-07-2020,Alberta
0,9219,18-07-2020,Alberta
0,9219,19-07-2020,Alberta
368,9587,20-07-2020,Alberta
141,9728,21-07-2020,Alberta
133,9861,22-07-2020,Alberta
112,9973,23-07-2020,Alberta
111,10084,24-07-2020,Alberta
0,10084,25-07-2020,Alberta
0,10084,26-07-2020,Alberta
303,10387,27-07-2020,Alberta
79,10466,28-07-2020,Alberta
133,10599,29-07-2020,Alberta
113,10712,30-07-2020,Alberta
127,10839,31-07-2020,Alberta
0,10839,01-08-2020,Alberta
0,10839,02-08-2020,Alberta
0,10839,03-08-2020,Alberta
305,11144,04-08-2020,Alberta
94,11238,05-08-2020,Alberta
56,11294,06-08-2020,Alberta
136,11430,07-08-2020,Alberta
0,11430,08-08-2020,Alberta
0,11430,09-08-2020,Alberta
257,11687,10-08-2020,Alberta
85,11772,11-08-2020,Alberta
121,11893,12-08-2020,Alberta
76,11969,13-08-2020,Alberta
84,12053,14-08-2020,Alberta
0,12053,15-08-2020,Alberta
0,12053,16-08-2020,Alberta
277,12330,17-08-2020,Alberta
89,12419,18-08-2020,Alberta
82,12501,19-08-2020,Alberta
103,12604,20-08-2020,Alberta
144,12748,21-08-2020,Alberta
0,12748,22-08-2020,Alberta
0,12748,23-08-2020,Alberta
258,13006,24-08-2020,Alberta
77,13083,25-08-2020,Alberta
127,13210,26-08-2020,Alberta
108,13318,27-08-2020,Alberta
158,13476,28-08-2020,Alberta
0,13476,29-08-2020,Alberta
0,13476,30-08-2020,Alberta
426,13902,31-08-2020,Alberta
164,14066,01-09-2020,Alberta
114,14180,02-09-2020,Alberta
130,14310,03-09-2020,Alberta
164,14474,04-09-2020,Alberta
0,14474,05-09-2020,Alberta
0,14474,06-09-2020,Alberta
0,14474,07-09-2020,Alberta
619,15093,08-09-2020,Alberta
98,15191,09-09-2020,Alberta
113,15304,10-09-2020,Alberta
111,15415,11-09-2020,Alberta
0,15415,12-09-2020,Alberta
0,15415,13-09-2020,Alberta
418,15833,14-09-2020,Alberta
124,15957,15-09-2020,Alberta
171,16128,16-09-2020,Alberta
146,16274,17-09-2020,Alberta
107,16381,18-09-2020,Alberta
0,16381,19-09-2020,Alberta
0,16381,20-09-2020,Alberta
358,16739,21-09-2020,Alberta
150,16889,22-09-2020,Alberta
143,17032,23-09-2020,Alberta
158,17190,24-09-2020,Alberta
153,17343,25-09-2020,Alberta
0,17343,26-09-2020,Alberta
0,17343,27-09-2020,Alberta
406,17749,28-09-2020,Alberta
160,17909,29-09-2020,Alberta
153,18062,30-09-2020,Alberta
173,18235,01-10-2020,Alberta
122,18357,02-10-2020,Alberta
0,18357,03-10-2020,Alberta
0,18357,04-10-2020,Alberta
576,18933,05-10-2020,Alberta
275,19208,06-10-2020,Alberta
142,19350,07-10-2020,Alberta
362,19712,08-10-2020,Alberta
277,19989,09-10-2020,Alberta
0,19989,10-10-2020,Alberta
0,19989,11-10-2020,Alberta
0,19989,12-10-2020,Alberta
967,20956,13-10-2020,Alberta
243,21199,14-10-2020,Alberta
244,21443,15-10-2020,Alberta
332,21775,16-10-2020,Alberta
0,21775,17-10-2020,Alberta
0,21775,18-10-2020,Alberta
898,22673,19-10-2020,Alberta
323,22996,20-10-2020,Alberta
406,23402,21-10-2020,Alberta
427,23829,22-10-2020,Alberta
432,24261,23-10-2020,Alberta
0,24261,24-10-2020,Alberta
0,24261,25-10-2020,Alberta
1472,25733,26-10-2020,Alberta
422,26155,27-10-2020,Alberta
410,26565,28-10-2020,Alberta
477,27042,29-10-2020,Alberta
622,27664,30-10-2020,Alberta
0,27664,31-10-2020,Alberta
0,27664,01-11-2020,Alberta
0,27664,02-11-2020,Alberta
2268,29932,03-11-2020,Alberta
515,30447,04-11-2020,Alberta
0,30447,05-11-2020,Alberta
1411,31858,06-11-2020,Alberta
0,31858,07-11-2020,Alberta
0,31858,08-11-2020,Alberta
2302,34160,09-11-2020,Alberta
713,34873,10-11-2020,Alberta
0,34873,11-11-2020,Alberta
1532,36405,12-11-2020,Alberta
907,37312,13-11-2020,Alberta
0,37312,14-11-2020,Alberta
0,37312,15-11-2020,Alberta
2877,40189,16-11-2020,Alberta
773,40962,17-11-2020,Alberta
730,41692,18-11-2020,Alberta
1105,42797,19-11-2020,Alberta
1155,43952,20-11-2020,Alberta
1336,45288,21-11-2020,Alberta
1584,46872,22-11-2020,Alberta
1549,48421,23-11-2020,Alberta
1115,49536,24-11-2020,Alberta
1265,50801,25-11-2020,Alberta
1077,51878,26-11-2020,Alberta
1227,53105,27-11-2020,Alberta
1731,54836,28-11-2020,Alberta
1608,56444,29-11-2020,Alberta
1733,58177,30-11-2020,Alberta
1307,59484,01-12-2020,Alberta
1685,61169,02-12-2020,Alberta
1854,63023,03-12-2020,Alberta
1828,64851,04-12-2020,Alberta
1879,66730,05-12-2020,Alberta
1836,68566,06-12-2020,Alberta
1735,70301,07-12-2020,Alberta
1727,72028,08-12-2020,Alberta
1460,73488,09-12-2020,Alberta
1566,75054,10-12-2020,Alberta
1738,76792,11-12-2020,Alberta
1590,78382,12-12-2020,Alberta
1717,80099,13-12-2020,Alberta
1887,81986,14-12-2020,Alberta
1341,83327,15-12-2020,Alberta
1270,84597,16-12-2020,Alberta
1571,86168,17-12-2020,Alberta
1413,87581,18-12-2020,Alberta
1352,88933,19-12-2020,Alberta
1286,90219,20-12-2020,Alberta
1240,91459,21-12-2020,Alberta
1021,92480,22-12-2020,Alberta
1301,93781,23-12-2020,Alberta
0,93781,24-12-2020,Alberta
0,93781,25-12-2020,Alberta
0,93781,26-12-2020,Alberta
0,93781,27-12-2020,Alberta
4488,98269,28-12-2020,Alberta
872,99141,29-12-2020,Alberta
1287,100428,30-12-2020,Alberta
0,100428,31-12-2020,Alberta
0,100428,01-01-2021,Alberta
0,100428,02-01-2021,Alberta
0,100428,03-01-2021,Alberta
5107,105535,04-01-2021,Alberta
843,106378,05-01-2021,Alberta
1123,107501,06-01-2021,Alberta
968,108469,07-01-2021,Alberta
1183,109652,08-01-2021,Alberta
989,110641,09-01-2021,Alberta
811,111452,10-01-2021,Alberta
639,112091,11-01-2021,Alberta
652,112743,12-01-2021,Alberta
875,113618,13-01-2021,Alberta
967,114585,14-01-2021,Alberta
785,115370,15-01-2021,Alberta
717,116087,16-01-2021,Alberta
750,116837,17-01-2021,Alberta
469,117306,18-01-2021,Alberta
461,117767,19-01-2021,Alberta
669,118436,20-01-2021,Alberta
678,119114,21-01-2021,Alberta
643,119757,22-01-2021,Alberta
573,120330,23-01-2021,Alberta
463,120793,24-01-2021,Alberta
742,121535,25-01-2021,Alberta
366,121901,26-01-2021,Alberta
459,122360,27-01-2021,Alberta
461,122821,28-01-2021,Alberta
543,123364,29-01-2021,Alberta
383,123747,30-01-2021,Alberta
461,124208,31-01-2021,Alberta
355,124563,01-02-2021,Alberta
268,124831,02-02-2021,Alberta
259,125090,03-02-2021,Alberta
582,125672,04-02-2021,Alberta
396,126068,05-02-2021,Alberta
348,126416,06-02-2021,Alberta
351,126767,07-02-2021,Alberta
269,127036,08-02-2021,Alberta
195,127231,09-02-2021,Alberta
339,127570,10-02-2021,Alberta
351,127921,11-02-2021,Alberta
314,128235,12-02-2021,Alberta
305,128540,13-02-2021,Alberta
284,128824,14-02-2021,Alberta
251,129075,15-02-2021,Alberta
263,129338,16-02-2021,Alberta
277,129615,17-02-2021,Alberta
415,130030,18-02-2021,Alberta
325,130355,19-02-2021,Alberta
380,130735,20-02-2021,Alberta
328,131063,21-02-2021,Alberta
273,131336,22-02-2021,Alberta
267,131603,23-02-2021,Alberta
430,132033,24-02-2021,Alberta
399,132432,25-02-2021,Alberta
356,132788,26-02-2021,Alberta
415,133203,27-02-2021,Alberta
301,133504,28-02-2021,Alberta
291,133795,01-03-2021,Alberta
257,134052,02-03-2021,Alberta
402,134454,03-03-2021,Alberta
331,134785,04-03-2021,Alberta
411,135196,05-03-2021,Alberta
341,135537,06-03-2021,Alberta
0,135537,07-03-2021,Alberta
582,136119,08-03-2021,Alberta
255,136374,09-03-2021,Alberta
399,136773,10-03-2021,Alberta
364,137137,11-03-2021,Alberta
427,137564,12-03-2021,Alberta
472,138036,13-03-2021,Alberta
388,138424,14-03-2021,Alberta
364,138788,15-03-2021,Alberta
355,139143,16-03-2021,Alberta
479,139622,17-03-2021,Alberta
505,140127,18-03-2021,Alberta
696,140823,19-03-2021,Alberta
556,141379,20-03-2021,Alberta
555,141934,21-03-2021,Alberta
456,142390,22-03-2021,Alberta
465,142855,23-03-2021,Alberta
692,143547,24-03-2021,Alberta
764,144311,25-03-2021,Alberta
717,145028,26-03-2021,Alberta
668,145696,27-03-2021,Alberta
644,146340,28-03-2021,Alberta
545,146885,29-03-2021,Alberta
576,147461,30-03-2021,Alberta
871,148332,31-03-2021,Alberta
875,149207,01-04-2021,Alberta
0,149207,02-04-2021,Alberta
0,149207,03-04-2021,Alberta
0,149207,04-04-2021,Alberta
3987,153194,05-04-2021,Alberta
931,154125,06-04-2021,Alberta
1351,155476,07-04-2021,Alberta
1429,156905,08-04-2021,Alberta
1521,158426,09-04-2021,Alberta
1293,159719,10-04-2021,Alberta
1183,160902,11-04-2021,Alberta
1136,162038,12-04-2021,Alberta
1081,163119,13-04-2021,Alberta
1412,164531,14-04-2021,Alberta
1646,166177,15-04-2021,Alberta
1616,167793,16-04-2021,Alberta
1486,169279,17-04-2021,Alberta
1514,170793,18-04-2021,Alberta
1391,172184,19-04-2021,Alberta
1347,173531,20-04-2021,Alberta
0,173531,21-04-2021,Alberta
3556,177087,22-04-2021,Alberta
1690,178777,23-04-2021,Alberta
1592,180369,24-04-2021,Alberta
1437,181806,25-04-2021,Alberta
1495,183301,26-04-2021,Alberta
1539,184840,27-04-2021,Alberta
1839,186679,28-04-2021,Alberta
2048,188727,29-04-2021,Alberta
2007,190734,30-04-2021,Alberta
2433,193167,01-05-2021,Alberta
1731,194898,02-05-2021,Alberta
2012,196910,03-05-2021,Alberta
1743,198653,04-05-2021,Alberta
2271,200924,05-05-2021,Alberta
2211,203135,06-05-2021,Alberta
1980,205115,07-05-2021,Alberta
2042,207157,08-05-2021,Alberta
1633,208790,09-05-2021,Alberta
1597,210387,10-05-2021,Alberta
1449,211836,11-05-2021,Alberta
1799,213635,12-05-2021,Alberta
1558,215193,13-05-2021,Alberta
1433,216626,14-05-2021,Alberta
1195,217821,15-05-2021,Alberta
1140,218961,16-05-2021,Alberta
721,219682,17-05-2021,Alberta
877,220559,18-05-2021,Alberta
908,221467,19-05-2021,Alberta
812,222279,20-05-2021,Alberta
732,223011,21-05-2021,Alberta
621,223632,22-05-2021,Alberta
563,224195,23-05-2021,Alberta
452,224647,24-05-2021,Alberta
387,225034,25-05-2021,Alberta
390,225424,26-05-2021,Alberta
513,225937,27-05-2021,Alberta
512,226449,28-05-2021,Alberta
406,226855,29-05-2021,Alberta
391,227246,30-05-2021,Alberta
263,227509,31-05-2021,Alberta
209,227718,01-06-2021,Alberta
410,228128,02-06-2021,Alberta
296,228424,03-06-2021,Alberta
244,228668,04-06-2021,Alberta
293,228961,05-06-2021,Alberta
231,229192,06-06-2021,Alberta
127,229319,07-06-2021,Alberta
139,229458,08-06-2021,Alberta
313,229771,09-06-2021,Alberta
178,229949,10-06-2021,Alberta
170,230119,11-06-2021,Alberta
179,230298,12-06-2021,Alberta
165,230463,13-06-2021,Alberta
115,230578,14-06-2021,Alberta
127,230705,15-06-2021,Alberta
153,230858,16-06-2021,Alberta
150,231008,17-06-2021,Alberta
124,231132,18-06-2021,Alberta
127,231259,19-06-2021,Alberta
100,231359,20-06-2021,Alberta
60,231419,21-06-2021,Alberta
57,231476,22-06-2021,Alberta
92,231568,23-06-2021,Alberta
73,231641,24-06-2021,Alberta
0,231641,25-06-2021,Alberta
0,231641,26-06-2021,Alberta
0,231641,27-06-2021,Alberta
209,231850,28-06-2021,Alberta
61,231911,29-06-2021,Alberta
76,231987,30-06-2021,Alberta
0,231987,01-07-2021,Alberta
110,232097,02-07-2021,Alberta
0,232097,03-07-2021,Alberta
0,232097,04-07-2021,Alberta
139,232236,05-07-2021,Alberta
33,232269,06-07-2021,Alberta
67,232336,07-07-2021,Alberta
23,232359,08-07-2021,Alberta
52,232411,09-07-2021,Alberta
0,232411,10-07-2021,Alberta
0,232411,11-07-2021,Alberta
90,232501,12-07-2021,Alberta
35,232536,13-07-2021,Alberta
46,232582,14-07-2021,Alberta
53,232635,15-07-2021,Alberta
41,232676,16-07-2021,Alberta
0,232676,17-07-2021,Alberta
0,232676,18-07-2021,Alberta
130,232806,19-07-2021,Alberta
69,232875,20-07-2021,Alberta
81,232956,21-07-2021,Alberta
106,233062,22-07-2021,Alberta
98,233160,23-07-2021,Alberta
0,233160,24-07-2021,Alberta
0,233160,25-07-2021,Alberta
387,233547,26-07-2021,Alberta
134,233681,27-07-2021,Alberta
194,233875,28-07-2021,Alberta
233,234108,29-07-2021,Alberta
187,234295,30-07-2021,Alberta
0,234295,31-07-2021,Alberta
0,234295,01-08-2021,Alberta
0,234295,02-08-2021,Alberta
743,235038,03-08-2021,Alberta
206,235244,04-08-2021,Alberta
397,235641,05-08-2021,Alberta
369,236010,06-08-2021,Alberta
0,236010,07-08-2021,Alberta
0,236010,08-08-2021,Alberta
1017,237027,09-08-2021,Alberta
279,237306,10-08-2021,Alberta
501,237807,11-08-2021,Alberta
550,238357,12-08-2021,Alberta
582,238939,13-08-2021,Alberta
0,238939,14-08-2021,Alberta
0,238939,15-08-2021,Alberta
1407,240346,16-08-2021,Alberta
407,240753,17-08-2021,Alberta
678,241431,18-08-2021,Alberta
817,242248,19-08-2021,Alberta
749,242997,20-08-2021,Alberta
0,242997,21-08-2021,Alberta
0,242997,22-08-2021,Alberta
1972,244969,23-08-2021,Alberta
629,245598,24-08-2021,Alberta
1076,246674,25-08-2021,Alberta
1112,247786,26-08-2021,Alberta
1168,248954,27-08-2021,Alberta
0,248954,28-08-2021,Alberta
0,248954,29-08-2021,Alberta
3056,252010,30-08-2021,Alberta
920,252930,31-08-2021,Alberta
1315,254245,01-09-2021,Alberta
1339,255584,02-09-2021,Alberta
1401,256985,03-09-2021,Alberta
0,256985,04-09-2021,Alberta
0,256985,05-09-2021,Alberta
0,256985,06-09-2021,Alberta
4903,261888,07-09-2021,Alberta
1166,263054,08-09-2021,Alberta
1510,264564,09-09-2021,Alberta
1473,266037,10-09-2021,Alberta
0,266037,11-09-2021,Alberta
0,266037,12-09-2021,Alberta
4740,270777,13-09-2021,Alberta
1434,272211,14-09-2021,Alberta
1609,273820,15-09-2021,Alberta
1718,275538,16-09-2021,Alberta
2020,277558,17-09-2021,Alberta
0,277558,18-09-2021,Alberta
0,277558,19-09-2021,Alberta
4633,282191,20-09-2021,Alberta
1519,283710,21-09-2021,Alberta
1336,285046,22-09-2021,Alberta
1660,286706,23-09-2021,Alberta
1651,288357,24-09-2021,Alberta
0,288357,25-09-2021,Alberta
0,288357,26-09-2021,Alberta
5181,293538,27-09-2021,Alberta
1246,294784,28-09-2021,Alberta
1682,296466,29-09-2021,Alberta
1706,298172,30-09-2021,Alberta
1630,299802,01-10-2021,Alberta
0,299802,02-10-2021,Alberta
0,299802,03-10-2021,Alberta
4037,303839,04-10-2021,Alberta
663,304502,05-10-2021,Alberta
1263,305765,06-10-2021,Alberta
1254,307019,07-10-2021,Alberta
1256,308275,08-10-2021,Alberta
0,308275,09-10-2021,Alberta
0,308275,10-10-2021,Alberta
0,308275,11-10-2021,Alberta
3358,311633,12-10-2021,Alberta
652,312285,13-10-2021,Alberta
916,313201,14-10-2021,Alberta
1051,314252,15-10-2021,Alberta
0,314252,16-10-2021,Alberta
0,314252,17-10-2021,Alberta
2181,316433,18-10-2021,Alberta
531,316964,19-10-2021,Alberta
786,317750,20-10-2021,Alberta
770,318520,21-10-2021,Alberta
656,319176,22-10-2021,Alberta
0,319176,23-10-2021,Alberta
0,319176,24-10-2021,Alberta
1592,320768,25-10-2021,Alberta
442,321210,26-10-2021,Alberta
645,321855,27-10-2021,Alberta
531,322386,28-10-2021,Alberta
603,322989,29-10-2021,Alberta
0,322989,30-10-2021,Alberta
0,322989,31-10-2021,Alberta
1159,324148,01-11-2021,Alberta
366,324514,02-11-2021,Alberta
487,325001,03-11-2021,Alberta
516,325517,04-11-2021,Alberta
466,325983,05-11-2021,Alberta
0,325983,06-11-2021,Alberta
0,325983,07-11-2021,Alberta
1300,327283,08-11-2021,Alberta
422,327705,09-11-2021,Alberta
484,328189,10-11-2021,Alberta
0,328189,11-11-2021,Alberta
841,329030,12-11-2021,Alberta
0,329030,13-11-2021,Alberta
0,329030,14-11-2021,Alberta
1068,330098,15-11-2021,Alberta
321,330419,16-11-2021,Alberta
412,330831,17-11-2021,Alberta
383,331214,18-11-2021,Alberta
412,331626,19-11-2021,Alberta
0,331626,20-11-2021,Alberta
0,331626,21-11-2021,Alberta
1124,332750,22-11-2021,Alberta
252,333002,23-11-2021,Alberta
464,333466,24-11-2021,Alberta
379,333845,25-11-2021,Alberta
356,334201,26-11-2021,Alberta
0,334201,27-11-2021,Alberta
0,334201,28-11-2021,Alberta
806,335007,29-11-2021,Alberta
240,335247,30-11-2021,Alberta
430,335677,01-12-2021,Alberta
366,336043,02-12-2021,Alberta
349,336392,03-12-2021,Alberta
0,336392,04-12-2021,Alberta
0,336392,05-12-2021,Alberta
788,337180,06-12-2021,Alberta
240,337420,07-12-2021,Alberta
388,337808,08-12-2021,Alberta
333,338141,09-12-2021,Alberta
287,338428,10-12-2021,Alberta
0,338428,11-12-2021,Alberta
0,338428,12-12-2021,Alberta
863,339291,13-12-2021,Alberta
250,339541,14-12-2021,Alberta
456,339997,15-12-2021,Alberta
473,340470,16-12-2021,Alberta
553,341023,17-12-2021,Alberta
0,341023,18-12-2021,Alberta
0,341023,19-12-2021,Alberta
1925,342948,20-12-2021,Alberta
786,343734,21-12-2021,Alberta
1346,345080,22-12-2021,Alberta
1625,346705,23-12-2021,Alberta
1888,348593,24-12-2021,Alberta
2509,351102,25-12-2021,Alberta
1592,352694,26-12-2021,Alberta
710,353404,27-12-2021,Alberta
1419,354823,28-12-2021,Alberta
2800,357623,29-12-2021,Alberta
4356,361979,30-12-2021,Alberta
4578,366557,31-12-2021,Alberta
4533,371090,01-01-2022,Alberta
3286,374376,02-01-2022,Alberta
2022,376398,03-01-2022,Alberta
2976,379374,04-01-2022,Alberta
4752,384126,05-01-2022,Alberta
4869,388995,06-01-2022,Alberta
6257,395252,07-01-2022,Alberta
0,395252,08-01-2022,Alberta
0,395252,09-01-2022,Alberta
17577,412829,10-01-2022,Alberta
4704,417533,11-01-2022,Alberta
6789,424322,12-01-2022,Alberta
6010,430332,13-01-2022,Alberta
6163,436495,14-01-2022,Alberta
0,436495,15-01-2022,Alberta
0,436495,16-01-2022,Alberta
15886,452381,17-01-2022,Alberta
3279,455660,18-01-2022,Alberta
3837,459497,19-01-2022,Alberta
3527,463024,20-01-2022,Alberta
3592,466616,21-01-2022,Alberta
0,466616,22-01-2022,Alberta
0,466616,23-01-2022,Alberta
0,466616,24-01-2022,Alberta
0,0,25-01-2020,BC
0,0,26-01-2020,BC
0,0,27-01-2020,BC
1,1,28-01-2020,BC
0,1,29-01-2020,BC
0,1,30-01-2020,BC
0,1,31-01-2020,BC
0,1,01-02-2020,BC
0,1,02-02-2020,BC
0,1,03-02-2020,BC
1,2,04-02-2020,BC
0,2,05-02-2020,BC
2,4,06-02-2020,BC
0,4,07-02-2020,BC
0,4,08-02-2020,BC
0,4,09-02-2020,BC
0,4,10-02-2020,BC
0,4,11-02-2020,BC
0,4,12-02-2020,BC
0,4,13-02-2020,BC
1,5,14-02-2020,BC
0,5,15-02-2020,BC
0,5,16-02-2020,BC
0,5,17-02-2020,BC
0,5,18-02-2020,BC
0,5,19-02-2020,BC
1,6,20-02-2020,BC
0,6,21-02-2020,BC
0,6,22-02-2020,BC
0,6,23-02-2020,BC
1,7,24-02-2020,BC
0,7,25-02-2020,BC
0,7,26-02-2020,BC
0,7,27-02-2020,BC
0,7,28-02-2020,BC
1,8,29-02-2020,BC
0,8,01-03-2020,BC
0,8,02-03-2020,BC
4,12,03-03-2020,BC
1,13,04-03-2020,BC
8,21,05-03-2020,BC
0,21,06-03-2020,BC
6,27,07-03-2020,BC
0,27,08-03-2020,BC
5,32,09-03-2020,BC
7,39,10-03-2020,BC
7,46,11-03-2020,BC
7,53,12-03-2020,BC
11,64,13-03-2020,BC
9,73,14-03-2020,BC
0,73,15-03-2020,BC
30,103,16-03-2020,BC
83,186,17-03-2020,BC
45,231,18-03-2020,BC
40,271,19-03-2020,BC
77,348,20-03-2020,BC
76,424,21-03-2020,BC
0,424,22-03-2020,BC
48,472,23-03-2020,BC
145,617,24-03-2020,BC
42,659,25-03-2020,BC
66,725,26-03-2020,BC
67,792,27-03-2020,BC
92,884,28-03-2020,BC
0,884,29-03-2020,BC
86,970,30-03-2020,BC
43,1013,31-03-2020,BC
53,1066,01-04-2020,BC
55,1121,02-04-2020,BC
53,1174,03-04-2020,BC
29,1203,04-04-2020,BC
0,1203,05-04-2020,BC
63,1266,06-04-2020,BC
25,1291,07-04-2020,BC
45,1336,08-04-2020,BC
34,1370,09-04-2020,BC
40,1410,10-04-2020,BC
35,1445,11-04-2020,BC
0,1445,12-04-2020,BC
45,1490,13-04-2020,BC
27,1517,14-04-2020,BC
44,1561,15-04-2020,BC
14,1575,16-04-2020,BC
43,1618,17-04-2020,BC
29,1647,18-04-2020,BC
0,1647,19-04-2020,BC
52,1699,20-04-2020,BC
25,1724,21-04-2020,BC
71,1795,22-04-2020,BC
29,1824,23-04-2020,BC
29,1853,24-04-2020,BC
95,1948,25-04-2020,BC
0,1948,26-04-2020,BC
50,1998,27-04-2020,BC
55,2053,28-04-2020,BC
34,2087,29-04-2020,BC
24,2111,30-04-2020,BC
33,2144,01-05-2020,BC
26,2170,02-05-2020,BC
0,2170,03-05-2020,BC
53,2223,04-05-2020,BC
8,2231,05-05-2020,BC
